time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-04-11T03:37:16.004Z,36.6156,70.9661,203.707,4.6,mb,43,70,2.597,1.04,us,us6000k3ez,2023-04-11T03:53:13.562Z,"30 km SSE of Jurm, Afghanistan",earthquake,7.35,9.43,0.111,24,reviewed,us,us
2023-04-11T02:08:29.854Z,9.1879,93.9398,10,4.5,mb,23,186,5.626,0.58,us,us6000k3eg,2023-04-11T02:40:33.040Z,"Nicobar Islands, India region",earthquake,7.21,1.954,0.157,12,reviewed,us,us
2023-04-10T23:58:13.667Z,-15.1727,167.5053,128.472,5.1,mb,90,39,0.399,0.6,us,us6000k3ds,2023-04-11T00:24:32.040Z,"48 km ESE of Port-Olry, Vanuatu",earthquake,6.28,3.538,0.067,72,reviewed,us,us
2023-04-10T21:13:15.458Z,-6.346,142.735,10,5.1,mb,89,19,10.896,0.92,us,us6000k3cj,2023-04-10T21:43:26.040Z,"60 km SSW of Tari, Papua New Guinea",earthquake,7.73,1.748,0.047,146,reviewed,us,us
2023-04-10T19:29:36.793Z,11.1186,139.4578,10,4.5,mb,51,149,15.682,0.57,us,us6000k3bw,2023-04-10T21:35:51.040Z,"189 km NW of Fais, Micronesia",earthquake,14.24,1.901,0.085,41,reviewed,us,us
2023-04-10T17:11:48.437Z,8.818,93.9091,10.067,4.7,mb,40,144,3.044,0.58,us,us6000k3b7,2023-04-10T17:40:51.040Z,"Nicobar Islands, India region",earthquake,9.78,5.651,0.102,29,reviewed,us,us
2023-04-10T15:22:06.034Z,-48.1751,-9.9402,10,4.9,mb,34,78,23.803,0.94,us,us6000k3ar,2023-04-10T15:53:01.040Z,"southern Mid-Atlantic Ridge",earthquake,5.97,1.861,0.099,32,reviewed,us,us
2023-04-10T11:21:22.782Z,8.9557,93.7833,10.05,4.5,mb,29,107,2.871,0.52,us,us6000k39m,2023-04-10T12:07:28.040Z,"Nicobar Islands, India region",earthquake,5.93,4.621,0.14,15,reviewed,us,us
2023-04-10T10:54:41.501Z,-32.5966,-70.8445,75.638,4.7,mb,40,102,0.298,0.53,us,us6000k39b,2023-04-10T23:29:09.290Z,"Chile-Argentina border region",earthquake,3.67,2.46,0.167,11,reviewed,us,us
2023-04-10T10:49:37.043Z,-15.8779,-173.792,142.695,4.5,mb,38,76,2.763,1.35,us,us6000k39c,2023-04-10T11:12:39.040Z,"8 km N of Hihifo, Tonga",earthquake,8,7.618,0.083,42,reviewed,us,us
2023-04-10T07:05:43.691Z,-10.7763,164.6997,10,5.4,mww,96,56,4.864,0.6,us,us6000k38k,2023-04-10T09:08:47.574Z,"Santa Cruz Islands region",earthquake,8.82,1.849,0.08,15,reviewed,us,us
2023-04-10T05:34:22.406Z,12.5018,-87.6928,72.046,4.7,mb,147,105,0.684,0.48,us,us6000k383,2023-04-10T23:26:18.222Z,"37 km SW of Jiquilillo, Nicaragua",earthquake,5.67,7.269,0.028,397,reviewed,us,us
2023-04-10T01:09:06.669Z,-3.2312,148.6515,10,5.1,mb,59,53,3.632,0.63,us,us6000k377,2023-04-10T02:10:33.040Z,"202 km SE of Lorengau, Papua New Guinea",earthquake,9.04,1.864,0.08,51,reviewed,us,us
2023-04-10T01:05:48.456Z,-3.5059,149.0038,10,6,mww,45,50,3.225,0.62,us,us6000k376,2023-04-11T01:12:51.740Z,"224 km WSW of Kavieng, Papua New Guinea",earthquake,10.82,1.867,0.093,11,reviewed,us,us
2023-04-10T00:46:37.031Z,22.9862,94.8602,141.001,4.6,mb,56,50,2.991,0.43,us,us6000k36y,2023-04-11T05:36:07.274Z,"86 km SSE of Mawlaik, Myanmar",earthquake,9.04,5.531,0.089,38,reviewed,us,us
2023-04-10T00:37:29.626Z,-9.7251,115.0962,67.183,5.1,mb,59,127,1.557,0.8,us,us6000k36r,2023-04-11T05:03:42.367Z,"103 km S of Nusa Dua, Indonesia",earthquake,7.86,6.758,0.104,30,reviewed,us,us
2023-04-10T00:36:20.085Z,-9.686,115.1193,54.828,5.1,mb,61,77,1.541,0.54,us,us6000k36p,2023-04-11T04:12:36.785Z,"98 km S of Nusa Dua, Indonesia",earthquake,7.35,7.472,0.087,43,reviewed,us,us
2023-04-10T00:26:57.643Z,-3.4325,149.0134,10,4.9,mb,31,71,3.232,0.46,us,us6000k375,2023-04-11T04:00:22.040Z,"219 km WSW of Kavieng, Papua New Guinea",earthquake,11.16,1.903,0.119,22,reviewed,us,us
2023-04-10T00:16:56.398Z,60.9926,-150.8212,51.7,4.6,ml,,,,0.88,ak,ak0234ldu94w,2023-04-11T05:35:17.961Z,"Kenai Peninsula, Alaska",earthquake,,0.4,,,reviewed,ak,ak
